Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2
CG12895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nclb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG18004-RB;CG18004-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.44115,NaN,NaN,NaN
,NaN,0.30236,NaN,0.8509,0.27358,NaN,0.33032,0.26594
rho-7,0.62016,0.71778,0.81572,0.79986,NaN,0.77208,NaN,NaN
Mppe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prp8,0.43795,0.44639,0.50722,0.57807,0.28728,0.28419,0.21605,0.98615
RpS11,0.13069,0.28917,0.55336,NaN,0.17669,0.15265,0.21335,0.19981
garz,0.94889,0.7747,NaN,NaN,1.7603,NaN,0.24808,0.1768
Cpr49Ag,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dyb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8545-RA,NaN,NaN,NaN,NaN,1.2037,1.5307,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4646,NaN,1.9905,NaN,NaN,1.1953,NaN,NaN,1.4997
CG4679,0.23091,0.32706,0.3718,0.77736,0.33631,0.25546,0.38776,0.20502
CG10799-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mip120,0.47888,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL53,1.3095,2.3568,NaN,NaN,2.7172,0.60229,4.4934,0.52878
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prosap,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BcDNA.GH03482;CG10249-RD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Khc-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eIF2B-gamma,0.40163,0.70829,NaN,0.2661,NaN,0.2515,NaN,0.21145
CG8192-RA,NaN,0.58372,NaN,NaN,0.74372,0.37341,NaN,NaN
,NaN,1.4961,2.0699,NaN,1.0743,0.73616,1.1598,NaN
Jhedup,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.6022,NaN,NaN,NaN,0.85104
clu,0.12133,0.14979,0.27995,0.1478,0.32819,0.21874,0.19224,0.15908
Sema-2b,NaN,NaN,0.8431,NaN,NaN,NaN,NaN,NaN
Syn2,0.27473,NaN,NaN,NaN,0.48343,NaN,NaN,NaN
CG8303,NaN,NaN,NaN,NaN,0.34392,NaN,NaN,NaN
Ehbp1,NaN,0.66363,1.0471,0.7418,NaN,1.0788,0.99156,NaN
RhoGEF2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)k01209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4853-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dcr-2,NaN,0.94366,NaN,NaN,0.22555,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4975-RB;CG4984-RC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Muc55B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GstE8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpS28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.5936,0.66072,NaN,NaN,0.92071,NaN,0.57767,NaN
CG15099,NaN,NaN,NaN,NaN,0.21351,NaN,NaN,NaN
CG15111-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hppy,0.55611,NaN,NaN,NaN,NaN,NaN,NaN,NaN
par-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
par-1,NaN,0.65104,NaN,NaN,0.55378,NaN,NaN,NaN
par-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,3.0522,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG17041,NaN,1.9605,NaN,NaN,NaN,NaN,NaN,NaN
CG4495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Galpha49B;Galphaq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slob,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6043-RH,0.37076,0.39357,NaN,NaN,0.22739,NaN,NaN,NaN
Syx5,1.6058,1.6633,2.3,2.3689,1.7267,1.3472,NaN,1.5662
,1.0298,NaN,NaN,NaN,NaN,NaN,NaN,NaN
orb2,NaN,0.2055,NaN,NaN,0.20123,0.3538,0.43416,NaN
bol,NaN,NaN,NaN,NaN,0.40768,NaN,0.41598,NaN
Trl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ama,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Timp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CtBP,NaN,NaN,NaN,NaN,NaN,0.57476,0.2061,0.31191
Syp,0.23634,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rb97D,NaN,NaN,NaN,0.83474,NaN,NaN,NaN,NaN
Hrb98DE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG3774;Efr,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Klp10A,0.35663,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ari-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
car,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG10187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Not1,1.204,0.14938,NaN,NaN,0.32239,NaN,NaN,0.20748
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG5544,0.3532,0.4183,NaN,NaN,1.1664,0.77182,0.29463,0.34466
,0.40919,0.52585,NaN,NaN,3.5177,NaN,NaN,0.69531
,NaN,NaN,NaN,NaN,0.7491,NaN,0.33992,NaN
Vrp1,NaN,NaN,NaN,1.2613,NaN,NaN,NaN,0.94181
Cda5,NaN,NaN,NaN,NaN,0.39492,NaN,NaN,NaN
CG7337-RB;CG7337-RA,0.3779,NaN,NaN,NaN,0.33036,NaN,0.54545,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG34310-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lar,7.5334,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RtGEF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG34039-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60515
enc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cip4,NaN,0.38893,NaN,0.32313,0.30552,NaN,NaN,NaN
sif,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ect4,0.35635,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GAPcenA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Argk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.88566,0.78046,1.8929,1.937,0.64451,0.84489,0.79205,2.0584
,NaN,NaN,0.50546,0.36774,NaN,NaN,NaN,0.35267
CG12355-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(3)72Do,1.4825,1.5667,1.4906,1.3819,NaN,NaN,1.5788,1.3541
Abl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Shal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ten-m,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ArfGAP3,0.57129,0.45608,0.85194,NaN,0.48426,NaN,NaN,0.55521
,NaN,NaN,NaN,NaN,NaN,NaN,0.19988,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pyd,NaN,NaN,NaN,NaN,0.24486,NaN,NaN,NaN
,0.75187,1.6572,NaN,NaN,NaN,NaN,2.2169,1.3204
Dh44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pnn,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NijC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.50045,0.56231,NaN,NaN,NaN,NaN,NaN,0.32084
btsz,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.49259,NaN,0.97879,NaN,NaN,NaN,NaN,NaN
Efa6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pli,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6422-RB,0.68305,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHKov1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LpR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
woc,NaN,0.34179,NaN,NaN,0.61875,NaN,0.45771,0.1455
Hayan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sec16,NaN,NaN,NaN,NaN,0.56678,0.56804,NaN,NaN
Rnp4F,0.63829,NaN,0.59014,NaN,NaN,0.4905,NaN,0.40436
CG14445-RB,NaN,NaN,NaN,NaN,NaN,1.0172,NaN,0.35829
,NaN,NaN,NaN,NaN,0.3428,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nup153,0.22348,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG40498-RF,0.82062,1.1063,1.3483,1.5195,1.797,NaN,NaN,1.2926
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,4.12,NaN,NaN,NaN,NaN
Gfat1,0.20715,0.2223,0.13393,NaN,0.28338,NaN,0.28231,NaN
how,NaN,NaN,NaN,NaN,0.37785,0.21126,NaN,NaN
Sfp87B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9801;CG9801-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8909-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
metro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mbl,1.8785,NaN,NaN,NaN,NaN,NaN,1.7773,NaN
Jabba,0.42231,0.41897,0.49503,0.46038,0.71896,NaN,NaN,NaN
tn,0.12346,0.18312,NaN,0.29365,0.33046,0.13521,0.3343,0.1515
CG30387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sdc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9865-RA,NaN,NaN,1.9975,NaN,NaN,NaN,NaN,NaN
CG9865-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
St3,0.68827,0.63303,NaN,0.63288,NaN,NaN,0.77291,NaN
Nurf-38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fis1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8740-RB,NaN,NaN,NaN,NaN,0.88497,NaN,NaN,NaN
CG31869-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Su(dx),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG42371-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rrp1,0.23587,NaN,NaN,NaN,1.1198,NaN,0.4492,NaN
kis,0.76763,0.31689,NaN,NaN,0.42922,0.59108,NaN,0.4783
drongo,0.70174,NaN,NaN,NaN,NaN,NaN,NaN,0.43081
pgant4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
fred,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PDZ-GEF,NaN,NaN,NaN,NaN,0.91523,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.37571,NaN,0.55343,NaN
RhoGAP71E,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nedd4,NaN,NaN,0.48841,NaN,NaN,NaN,NaN,0.54926
,NaN,NaN,NaN,NaN,NaN,NaN,0.78128,NaN
,NaN,NaN,NaN,NaN,0.50093,1.1416,1.0203,1.208
mus312-RD,1.4862,1.2554,NaN,1.2842,1.0957,1.2163,1.1004,1.4579
,NaN,0.42456,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nudE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cher,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.47456
CG6364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lerp,0.29932,NaN,NaN,NaN,NaN,NaN,NaN,NaN
spg,0.36738,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mtd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTA1-like,NaN,NaN,NaN,NaN,0.96849,0.38205,0.12322,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pak,0.36883,0.26177,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.65985,NaN,NaN,NaN,1.053
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rg,0.44538,0.72416,NaN,NaN,0.68425,0.24,0.35542,0.2254
CG42323-RC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tlk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4928,NaN,NaN,NaN,2.5025,NaN,NaN,0.67512,NaN
nemy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sclp,0.28529,0.36627,NaN,NaN,0.11932,0.44909,0.14223,0.28138
Sfp96F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Evi5;CG11727,NaN,NaN,NaN,NaN,0.32444,NaN,0.81913,NaN
Eph,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CaMKII,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CaMKII,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssh,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
stau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lolal,0.82541,NaN,1.0127,0.87232,NaN,0.62704,0.75242,0.57096
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tim10-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G-salpha60A;Galphas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)01289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CSN4,0.45848,0.55112,NaN,0.65229,NaN,NaN,NaN,NaN
Mlf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kr-h2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Piezo,0.71602,0.81885,NaN,NaN,0.6346,NaN,NaN,NaN
GlcAT-S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
yuri,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dif,NaN,NaN,0.30483,NaN,NaN,NaN,NaN,NaN
CG14397-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG2131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
galectin,NaN,NaN,0.92268,NaN,NaN,NaN,NaN,NaN
E(bx),1.0193,NaN,NaN,NaN,0.52347,NaN,NaN,NaN
CG7611,0.13356,0.37186,NaN,NaN,NaN,NaN,NaN,0.17835
Pop2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pHCl,0.38966,NaN,NaN,0.37649,NaN,NaN,NaN,NaN
Dscam2,NaN,0.67283,NaN,NaN,0.62549,NaN,NaN,0.46921
Snmp2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
syd,0.37226,0.40841,0.54551,NaN,0.41776,NaN,NaN,0.2346
Zasp66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG5021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TfIIEbeta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mp,NaN,NaN,NaN,NaN,7.0056,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Octbeta2R,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Su(var)3-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpS10,NaN,0.48559,NaN,1.1306,0.42873,NaN,0.37485,0.56338
msps,0.30109,6.3732,0.26428,NaN,1.1545,NaN,1.0888,0.27241
Pxd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
osa,0.2785,0.24955,NaN,NaN,NaN,NaN,NaN,NaN
CG7956-RA,1.777,NaN,NaN,NaN,3.9042,NaN,0.25798,2.5557
Irk2,NaN,NaN,0.70213,NaN,NaN,NaN,NaN,NaN
nct,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4673;Npl4,0.26302,0.32325,0.43304,0.38062,0.35373,1.309,0.25051,0.24605
tmod,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG31004;mesh,NaN,NaN,NaN,0.72439,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG1307,NaN,NaN,NaN,NaN,0.65255,0.28726,NaN,NaN
PsGEF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tyf,NaN,NaN,NaN,1.194,NaN,NaN,1.6302,1.1348
rb,NaN,0.15361,NaN,NaN,0.55101,NaN,NaN,NaN
Cp38,NaN,NaN,0.12772,NaN,NaN,NaN,NaN,NaN
fs(1)h,0.31392,0.2475,NaN,NaN,0.52595,NaN,28.479,1.9387
Imp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gfA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG17065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GstT3,NaN,NaN,NaN,NaN,0.31304,NaN,0.25506,NaN
Tango11,NaN,NaN,1.9036,NaN,NaN,NaN,NaN,1.2045
milt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tho2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG43427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG1129,0.45375,0.35097,0.54181,NaN,0.71935,NaN,NaN,NaN
CG2982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.75402,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cbp80,0.23971,0.32969,0.22385,0.25096,NaN,NaN,0.23312,0.16731
Ice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aats-phe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Peritrophin-A,NaN,1.0089,NaN,NaN,0.80423,NaN,NaN,NaN
Fs(2)Ket,0.2124,0.2474,NaN,NaN,0.22471,0.14787,0.22723,0.13234
pn,NaN,NaN,0.57453,0.75949,0.74392,NaN,NaN,NaN
Surf4,NaN,NaN,0.53799,NaN,NaN,0.50573,NaN,NaN
SNF1A,0.40553,NaN,NaN,NaN,0.56894,NaN,NaN,NaN
wbl,0.48202,0.23867,NaN,NaN,0.56613,0.44657,0.21319,0.35855
qkr58E-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cbl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
msta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG:39E1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pgam5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ocrl,NaN,NaN,NaN,NaN,0.20497,NaN,NaN,NaN
fs(1)N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
noi,0.28113,0.2357,NaN,NaN,0.25291,NaN,0.26065,0.27654
Acp53Ea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Acp62F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
crol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mkk4,0.48393,NaN,NaN,NaN,NaN,NaN,0.31081,0.49013
Flo,NaN,NaN,NaN,NaN,NaN,1.3967,NaN,NaN
Flo-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fim,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lic,0.37456,0.27495,0.42673,NaN,NaN,NaN,NaN,NaN
dco,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kap-alpha1,0.22802,0.32855,NaN,NaN,NaN,NaN,NaN,0.25384
BCL7-like,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eIF2B-beta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG:125H10.1,0.71763,0.46254,NaN,1.5973,0.36354,0.15018,0.29977,0.34469
ssx,0.78627,0.58355,0.85004,0.94787,NaN,NaN,0.62088,NaN
CG11448,1.6661,0.79019,0.86563,1.0305,0.55542,NaN,NaN,0.68292
anon-3B1.2,0.070563,0.1719,0.48709,NaN,0.14247,0.26862,0.06632,0.082605
arg,NaN,NaN,NaN,NaN,NaN,NaN,3.5481,NaN
pck,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pp4-19C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4045,NaN,0.68693,NaN,NaN,NaN,NaN,NaN,NaN
Sec22,NaN,0.88245,NaN,NaN,0.87689,0.78431,1.0888,NaN
Ate1,0.2172,0.17563,NaN,NaN,NaN,NaN,NaN,0.56691
EG:131F2.3,0.71143,0.67483,NaN,NaN,NaN,NaN,NaN,0.96771
CG1315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
par-6,NaN,NaN,NaN,NaN,1.0715,NaN,NaN,NaN
RpII33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(1)10Bb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Src64B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sgs3,0.029079,0.022754,NaN,NaN,0.11006,NaN,NaN,0.06049
Sgs7,0.071893,NaN,NaN,NaN,0.20304,0.37081,0.065309,0.072767
nAcRbeta-64B,NaN,NaN,NaN,0.8794,NaN,NaN,0.91368,0.90955
Rh3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Adf1,NaN,0.62404,NaN,NaN,NaN,NaN,NaN,NaN
,0.075922,0.079711,NaN,0.40909,0.18993,0.064357,0.11602,0.10828
,0.1121,0.039555,0.26787,0.15443,0.036315,0.040058,0.040251,0.035807
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hsp67Ba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r,0.3277,0.21708,NaN,NaN,0.29848,NaN,0.35839,0.52746
alphaTub85E,0.35475,0.53741,NaN,NaN,0.2838,NaN,0.25386,0.30083
Tm1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tm1,NaN,NaN,NaN,2.4028,NaN,NaN,NaN,NaN
Cp19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LvpH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sgs5,NaN,0.73719,NaN,NaN,NaN,NaN,NaN,NaN
Ald,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RpII140,0.41688,0.63069,NaN,0.52248,0.84361,NaN,0.36338,1.4686
ry,NaN,NaN,NaN,0.14999,NaN,NaN,NaN,NaN
Fmrf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fas1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tko,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hsc70-2,NaN,NaN,NaN,NaN,1.2676,NaN,NaN,NaN
phl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aprt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pp1-87B;Pp1-13C,NaN,0.35869,NaN,0.6334,0.77737,NaN,0.64761,NaN
RpS26,NaN,NaN,NaN,NaN,NaN,0.19529,NaN,NaN
norpA,NaN,NaN,NaN,NaN,0.13958,NaN,NaN,NaN
Atpalpha,NaN,NaN,NaN,NaN,0.24949,NaN,NaN,NaN
Appl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fas3,0.69353,NaN,NaN,NaN,NaN,NaN,NaN,0.67495
gro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
numb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BicD,0.23519,0.25751,0.60058,NaN,0.39179,0.96579,0.21965,0.32244
Pka-C3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ttk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
crn,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mus209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fps85D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Dec,NaN,NaN,0.19518,NaN,NaN,NaN,NaN,NaN
Gld,0.36266,0.51642,NaN,0.73526,0.38111,0.63412,0.43906,0.44112
sgg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
anon-37Cs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
arm,0.67629,0.95485,NaN,0.45278,0.83898,NaN,0.81623,0.72126
mt:ND1,0.5147,NaN,NaN,0.68691,NaN,NaN,NaN,0.76888
mt:ND3,NaN,NaN,0.71014,1.472,NaN,NaN,NaN,NaN
mt:ND4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sxl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
up,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
up,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
