Gene names,Alpha A30P_day_1_1,Alpha A30P_day_1_2,Alpha A53T_day_1_1,Alpha A53T_day_1_2,Alpha _day_1_1,Alpha _day_1_2,
Vrp1,NaN,NaN,NaN,NaN,NaN,0.94181,
Cda5,NaN,NaN,0.39492,NaN,NaN,NaN,
CG7337-RB;CG7337-RA,0.3779,NaN,0.33036,NaN,0.54545,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG34310-RA,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Lar,7.5334,NaN,NaN,NaN,NaN,NaN,
RtGEF,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG34039-RA,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,0.60515,
enc,NaN,NaN,NaN,NaN,NaN,NaN,
Cip4,NaN,0.38893,0.30552,NaN,NaN,NaN,
sif,NaN,NaN,NaN,NaN,NaN,NaN,
Ect4,0.35635,NaN,NaN,NaN,NaN,NaN,
GAPcenA,NaN,NaN,NaN,NaN,NaN,NaN,
Argk,NaN,NaN,NaN,NaN,NaN,NaN,
,0.88566,0.78046,0.64451,0.84489,0.79205,2.0584,
,NaN,NaN,NaN,NaN,NaN,0.35267,
CG12355-RA,NaN,NaN,NaN,NaN,NaN,NaN,
l(3)72Do,1.4825,1.5667,NaN,NaN,1.5788,1.3541,
Abl,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Shal,NaN,NaN,NaN,NaN,NaN,NaN,
Ten-m,NaN,NaN,NaN,NaN,NaN,NaN,
ArfGAP3,0.57129,0.45608,0.48426,NaN,NaN,0.55521,
,NaN,NaN,NaN,NaN,0.19988,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
pyd,NaN,NaN,0.24486,NaN,NaN,NaN,
,0.75187,1.6572,NaN,NaN,2.2169,1.3204,
Dh44,NaN,NaN,NaN,NaN,NaN,NaN,
Pnn,NaN,NaN,NaN,NaN,NaN,NaN,
cu,NaN,NaN,NaN,NaN,NaN,NaN,
NijC,NaN,NaN,NaN,NaN,NaN,NaN,
,0.50045,0.56231,NaN,NaN,NaN,0.32084,
btsz,NaN,NaN,NaN,NaN,NaN,NaN,
,0.49259,NaN,NaN,NaN,NaN,NaN,
Efa6,NaN,NaN,NaN,NaN,NaN,NaN,
Pli,NaN,NaN,NaN,NaN,NaN,NaN,
CG6422-RB,0.68305,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CHKov1,NaN,NaN,NaN,NaN,NaN,NaN,
LpR1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
sda,NaN,NaN,NaN,NaN,NaN,NaN,
woc,NaN,0.34179,0.61875,NaN,0.45771,0.1455,
Hayan,NaN,NaN,NaN,NaN,NaN,NaN,
Sec16,NaN,NaN,0.56678,0.56804,NaN,NaN,
Rnp4F,0.63829,NaN,NaN,0.4905,NaN,0.40436,
CG14445-RB,NaN,NaN,NaN,1.0172,NaN,0.35829,
,NaN,NaN,0.3428,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Nup153,0.22348,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG40498-RF,0.82062,1.1063,1.797,NaN,NaN,1.2926,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Gfat1,0.20715,0.2223,0.28338,NaN,0.28231,NaN,
how,NaN,NaN,0.37785,0.21126,NaN,NaN,
Sfp87B,NaN,NaN,NaN,NaN,NaN,NaN,
CG9801;CG9801-RA,NaN,NaN,NaN,NaN,NaN,NaN,
CG8909-RB,NaN,NaN,NaN,NaN,NaN,NaN,
metro,NaN,NaN,NaN,NaN,NaN,NaN,
mbl,1.8785,NaN,NaN,NaN,1.7773,NaN,
Jabba,0.42231,0.41897,0.71896,NaN,NaN,NaN,
tn,0.12346,0.18312,0.33046,0.13521,0.3343,0.1515,
CG30387,NaN,NaN,NaN,NaN,NaN,NaN,
Sdc,NaN,NaN,NaN,NaN,NaN,NaN,
CG9865-RA,NaN,NaN,NaN,NaN,NaN,NaN,
CG9865-RA,NaN,NaN,NaN,NaN,NaN,NaN,
St3,0.68827,0.63303,NaN,NaN,0.77291,NaN,
Nurf-38,NaN,NaN,NaN,NaN,NaN,NaN,
Fis1,NaN,NaN,NaN,NaN,NaN,NaN,
CG8740-RB,NaN,NaN,0.88497,NaN,NaN,NaN,
CG31869-RB,NaN,NaN,NaN,NaN,NaN,NaN,
Su(dx),NaN,NaN,NaN,NaN,NaN,NaN,
CG42371-RA,NaN,NaN,NaN,NaN,NaN,NaN,
Rrp1,0.23587,NaN,1.1198,NaN,0.4492,NaN,
kis,0.76763,0.31689,0.42922,0.59108,NaN,0.4783,
drongo,0.70174,NaN,NaN,NaN,NaN,0.43081,
pgant4,NaN,NaN,NaN,NaN,NaN,NaN,
fred,NaN,NaN,NaN,NaN,NaN,NaN,
PDZ-GEF,NaN,NaN,0.91523,NaN,NaN,NaN,
,NaN,NaN,0.37571,NaN,0.55343,NaN,
RhoGAP71E,NaN,NaN,NaN,NaN,NaN,NaN,
Nedd4,NaN,NaN,NaN,NaN,NaN,0.54926,
,NaN,NaN,NaN,NaN,0.78128,NaN,
,NaN,NaN,0.50093,1.1416,1.0203,1.208,
mus312-RD,1.4862,1.2554,1.0957,1.2163,1.1004,1.4579,
,NaN,0.42456,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
nudE,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
cher,NaN,NaN,NaN,NaN,NaN,0.47456,
CG6364,NaN,NaN,NaN,NaN,NaN,NaN,
Lerp,0.29932,NaN,NaN,NaN,NaN,NaN,
spg,0.36738,NaN,NaN,NaN,NaN,NaN,
mtd,NaN,NaN,NaN,NaN,NaN,NaN,
MTA1-like,NaN,NaN,0.96849,0.38205,0.12322,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Pak,0.36883,0.26177,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,1.053,
,NaN,NaN,NaN,NaN,NaN,NaN,
rg,0.44538,0.72416,0.68425,0.24,0.35542,0.2254,
CG42323-RC,NaN,NaN,NaN,NaN,NaN,NaN,
tlk,NaN,NaN,NaN,NaN,NaN,NaN,
CG4928,NaN,NaN,NaN,NaN,0.67512,NaN,
nemy,NaN,NaN,NaN,NaN,NaN,NaN,
Sclp,0.28529,0.36627,0.11932,0.44909,0.14223,0.28138,
Sfp96F,NaN,NaN,NaN,NaN,NaN,NaN,
Evi5;CG11727,NaN,NaN,0.32444,NaN,0.81913,NaN,
Eph,NaN,NaN,NaN,NaN,NaN,NaN,
CaMKII,NaN,NaN,NaN,NaN,NaN,NaN,
CaMKII,NaN,NaN,NaN,NaN,NaN,NaN,
ssh,NaN,NaN,NaN,NaN,NaN,NaN,
stau,NaN,NaN,NaN,NaN,NaN,NaN,
lolal,0.82541,NaN,NaN,0.62704,0.75242,0.57096,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Tim10-RA,NaN,NaN,NaN,NaN,NaN,NaN,
G-salpha60A;Galphas,NaN,NaN,NaN,NaN,NaN,NaN,
l(2)01289,NaN,NaN,NaN,NaN,NaN,NaN,
CSN4,0.45848,0.55112,NaN,NaN,NaN,NaN,
Mlf,NaN,NaN,NaN,NaN,NaN,NaN,
Kr-h2,NaN,NaN,NaN,NaN,NaN,NaN,
Piezo,0.71602,0.81885,0.6346,NaN,NaN,NaN,
GlcAT-S,NaN,NaN,NaN,NaN,NaN,NaN,
yuri,NaN,NaN,NaN,NaN,NaN,NaN,
Dif,NaN,NaN,NaN,NaN,NaN,NaN,
CG14397-RA,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG2131,NaN,NaN,NaN,NaN,NaN,NaN,
galectin,NaN,NaN,NaN,NaN,NaN,NaN,
E(bx),1.0193,NaN,0.52347,NaN,NaN,NaN,
CG7611,0.13356,0.37186,NaN,NaN,NaN,0.17835,
Pop2,NaN,NaN,NaN,NaN,NaN,NaN,
pHCl,0.38966,NaN,NaN,NaN,NaN,NaN,
Dscam2,NaN,0.67283,0.62549,NaN,NaN,0.46921,
Snmp2,NaN,NaN,NaN,NaN,NaN,NaN,
syd,0.37226,0.40841,0.41776,NaN,NaN,0.2346,
Zasp66,NaN,NaN,NaN,NaN,NaN,NaN,
CG5021,NaN,NaN,NaN,NaN,NaN,NaN,
TfIIEbeta,NaN,NaN,NaN,NaN,NaN,NaN,
mp,NaN,NaN,7.0056,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Octbeta2R,NaN,NaN,NaN,NaN,NaN,NaN,
Su(var)3-7,NaN,NaN,NaN,NaN,NaN,NaN,
mRpS10,NaN,0.48559,0.42873,NaN,0.37485,0.56338,
msps,0.30109,6.3732,1.1545,NaN,1.0888,0.27241,
Pxd,NaN,NaN,NaN,NaN,NaN,NaN,
osa,0.2785,0.24955,NaN,NaN,NaN,NaN,
CG7956-RA,1.777,NaN,3.9042,NaN,0.25798,2.5557,
Irk2,NaN,NaN,NaN,NaN,NaN,NaN,
nct,NaN,NaN,NaN,NaN,NaN,NaN,
CG4673;Npl4,0.26302,0.32325,0.35373,1.309,0.25051,0.24605,
tmod,NaN,NaN,NaN,NaN,NaN,NaN,
CG31004;mesh,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG1307,NaN,NaN,0.65255,0.28726,NaN,NaN,
PsGEF,NaN,NaN,NaN,NaN,NaN,NaN,
tyf,NaN,NaN,NaN,NaN,1.6302,1.1348,
rb,NaN,0.15361,0.55101,NaN,NaN,NaN,
Cp38,NaN,NaN,NaN,NaN,NaN,NaN,
fs(1)h,0.31392,0.2475,0.52595,NaN,28.479,1.9387,
Imp,NaN,NaN,NaN,NaN,NaN,NaN,
gfA,NaN,NaN,NaN,NaN,NaN,NaN,
CG17065,NaN,NaN,NaN,NaN,NaN,NaN,
GstT3,NaN,NaN,0.31304,NaN,0.25506,NaN,
Tango11,NaN,NaN,NaN,NaN,NaN,1.2045,
milt,NaN,NaN,NaN,NaN,NaN,NaN,
tho2,NaN,NaN,NaN,NaN,NaN,NaN,
CG43427,NaN,NaN,NaN,NaN,NaN,NaN,
CG1129,0.45375,0.35097,0.71935,NaN,NaN,NaN,
CG2982,NaN,NaN,NaN,NaN,NaN,NaN,
,0.75402,NaN,NaN,NaN,NaN,NaN,
Cbp80,0.23971,0.32969,NaN,NaN,0.23312,0.16731,
Ice,NaN,NaN,NaN,NaN,NaN,NaN,
Aats-phe,NaN,NaN,NaN,NaN,NaN,NaN,
Peritrophin-A,NaN,1.0089,0.80423,NaN,NaN,NaN,
Fs(2)Ket,0.2124,0.2474,0.22471,0.14787,0.22723,0.13234,
pn,NaN,NaN,0.74392,NaN,NaN,NaN,
Surf4,NaN,NaN,NaN,0.50573,NaN,NaN,
SNF1A,0.40553,NaN,0.56894,NaN,NaN,NaN,
wbl,0.48202,0.23867,0.56613,0.44657,0.21319,0.35855,
qkr58E-3,NaN,NaN,NaN,NaN,NaN,NaN,
Cbl,NaN,NaN,NaN,NaN,NaN,NaN,
msta,NaN,NaN,NaN,NaN,NaN,NaN,
EG:39E1.2,NaN,NaN,NaN,NaN,NaN,NaN,
Pgam5,NaN,NaN,NaN,NaN,NaN,NaN,
Ocrl,NaN,NaN,0.20497,NaN,NaN,NaN,
fs(1)N,NaN,NaN,NaN,NaN,NaN,NaN,
noi,0.28113,0.2357,0.25291,NaN,0.26065,0.27654,
Acp53Ea,NaN,NaN,NaN,NaN,NaN,NaN,
Acp62F,NaN,NaN,NaN,NaN,NaN,NaN,
crol,NaN,NaN,NaN,NaN,NaN,NaN,
Mkk4,0.48393,NaN,NaN,NaN,0.31081,0.49013,
Flo,NaN,NaN,NaN,1.3967,NaN,NaN,
Flo-2,NaN,NaN,NaN,NaN,NaN,NaN,
Fim,NaN,NaN,NaN,NaN,NaN,NaN,
lic,0.37456,0.27495,NaN,NaN,NaN,NaN,
dco,NaN,NaN,NaN,NaN,NaN,NaN,
Kap-alpha1,0.22802,0.32855,NaN,NaN,NaN,0.25384,
BCL7-like,NaN,NaN,NaN,NaN,NaN,NaN,
eIF2B-beta,NaN,NaN,NaN,NaN,NaN,NaN,
EG:125H10.1,0.71763,0.46254,0.36354,0.15018,0.29977,0.34469,
ssx,0.78627,0.58355,NaN,NaN,0.62088,NaN,
CG11448,1.6661,0.79019,0.55542,NaN,NaN,0.68292,
anon-3B1.2,0.070563,0.1719,0.14247,0.26862,0.06632,0.082605,
arg,NaN,NaN,NaN,NaN,3.5481,NaN,
pck,NaN,NaN,NaN,NaN,NaN,NaN,
Pp4-19C,NaN,NaN,NaN,NaN,NaN,NaN,
CG4045,NaN,0.68693,NaN,NaN,NaN,NaN,
Sec22,NaN,0.88245,0.87689,0.78431,1.0888,NaN,
Ate1,0.2172,0.17563,NaN,NaN,NaN,0.56691,
EG:131F2.3,0.71143,0.67483,NaN,NaN,NaN,0.96771,
CG1315,NaN,NaN,NaN,NaN,NaN,NaN,
par-6,NaN,NaN,1.0715,NaN,NaN,NaN,
RpII33,NaN,NaN,NaN,NaN,NaN,NaN,
l(1)10Bb,NaN,NaN,NaN,NaN,NaN,NaN,
Src64B,NaN,NaN,NaN,NaN,NaN,NaN,
Sgs3,0.029079,0.022754,0.11006,NaN,NaN,0.06049,
Sgs7,0.071893,NaN,0.20304,0.37081,0.065309,0.072767,
nAcRbeta-64B,NaN,NaN,NaN,NaN,0.91368,0.90955,
Rh3,NaN,NaN,NaN,NaN,NaN,NaN,
Adf1,NaN,0.62404,NaN,NaN,NaN,NaN,
,0.075922,0.079711,0.18993,0.064357,0.11602,0.10828,
,0.1121,0.039555,0.036315,0.040058,0.040251,0.035807,
,NaN,NaN,NaN,NaN,NaN,NaN,
Hsp67Ba,NaN,NaN,NaN,NaN,NaN,NaN,
r,0.3277,0.21708,0.29848,NaN,0.35839,0.52746,
alphaTub85E,0.35475,0.53741,0.2838,NaN,0.25386,0.30083,
Tm1,NaN,NaN,NaN,NaN,NaN,NaN,
Tm1,NaN,NaN,NaN,NaN,NaN,NaN,
Cp19,NaN,NaN,NaN,NaN,NaN,NaN,
LvpH,NaN,NaN,NaN,NaN,NaN,NaN,
Sgs5,NaN,0.73719,NaN,NaN,NaN,NaN,
Ald,NaN,NaN,NaN,NaN,NaN,NaN,
RpII140,0.41688,0.63069,0.84361,NaN,0.36338,1.4686,
ry,NaN,NaN,NaN,NaN,NaN,NaN,
Fmrf,NaN,NaN,NaN,NaN,NaN,NaN,
Fas1,NaN,NaN,NaN,NaN,NaN,NaN,
tko,NaN,NaN,NaN,NaN,NaN,NaN,
Hsc70-2,NaN,NaN,1.2676,NaN,NaN,NaN,
phl,NaN,NaN,NaN,NaN,NaN,NaN,
Aprt,NaN,NaN,NaN,NaN,NaN,NaN,
Pp1-87B;Pp1-13C,NaN,0.35869,0.77737,NaN,0.64761,NaN,
RpS26,NaN,NaN,NaN,0.19529,NaN,NaN,
norpA,NaN,NaN,0.13958,NaN,NaN,NaN,
Atpalpha,NaN,NaN,0.24949,NaN,NaN,NaN,
Appl,NaN,NaN,NaN,NaN,NaN,NaN,
Fas3,0.69353,NaN,NaN,NaN,NaN,0.67495,
gro,NaN,NaN,NaN,NaN,NaN,NaN,
numb,NaN,NaN,NaN,NaN,NaN,NaN,
BicD,0.23519,0.25751,0.39179,0.96579,0.21965,0.32244,
Pka-C3,NaN,NaN,NaN,NaN,NaN,NaN,
ttk,NaN,NaN,NaN,NaN,NaN,NaN,
crn,NaN,NaN,NaN,NaN,NaN,NaN,
mus209,NaN,NaN,NaN,NaN,NaN,NaN,
Fps85D,NaN,NaN,NaN,NaN,NaN,NaN,
01-Dec,NaN,NaN,NaN,NaN,NaN,NaN,
Gld,0.36266,0.51642,0.38111,0.63412,0.43906,0.44112,
sgg,NaN,NaN,NaN,NaN,NaN,NaN,
anon-37Cs,NaN,NaN,NaN,NaN,NaN,NaN,
arm,0.67629,0.95485,0.83898,NaN,0.81623,0.72126,
mt:ND1,0.5147,NaN,NaN,NaN,NaN,0.76888,
mt:ND3,NaN,NaN,NaN,NaN,NaN,NaN,
mt:ND4,NaN,NaN,NaN,NaN,NaN,NaN,
Sxl,NaN,NaN,NaN,NaN,NaN,NaN,
up,NaN,NaN,NaN,NaN,NaN,NaN,
up,NaN,NaN,NaN,NaN,NaN,NaN,
Pepck,0.27558,0.31987,0.2612,NaN,0.37219,0.4405,
v,NaN,NaN,NaN,NaN,NaN,NaN,
G-ialpha65A,1.6324,NaN,NaN,NaN,NaN,NaN,
Anp,NaN,NaN,NaN,NaN,NaN,NaN,
AnnIX,NaN,NaN,NaN,NaN,NaN,NaN,
AnnX,NaN,NaN,NaN,NaN,NaN,NaN,
Ca-P60A,NaN,NaN,NaN,NaN,NaN,NaN,
bam,NaN,NaN,NaN,NaN,NaN,NaN,
Cp16,NaN,NaN,NaN,NaN,NaN,NaN,
gammaTub23C,3.0182,NaN,NaN,NaN,NaN,NaN,
mts,NaN,NaN,0.22625,NaN,NaN,NaN,
Rdl,NaN,NaN,NaN,NaN,NaN,NaN,
UbcD6,NaN,NaN,NaN,NaN,NaN,NaN,
Arf72A,NaN,0.84453,NaN,NaN,0.78397,0.83626,
pum,NaN,0.35957,NaN,NaN,NaN,0.58623,
tud,0.18507,NaN,1.708,NaN,NaN,NaN,
eff,0.47363,0.57532,0.58815,0.40568,0.38696,0.5727,
su(f),NaN,NaN,NaN,NaN,NaN,NaN,
Fur1,NaN,NaN,NaN,NaN,NaN,NaN,
TfIIB,NaN,NaN,NaN,NaN,NaN,NaN,
csw,0.60858,NaN,0.28302,NaN,NaN,NaN,
Itp-r83A,1.3569,0.58526,NaN,NaN,0.27471,NaN,
Top1,NaN,NaN,NaN,NaN,NaN,NaN,
dlg1,NaN,NaN,NaN,NaN,NaN,NaN,
dlg1,NaN,NaN,NaN,NaN,NaN,NaN,
Gprk2,0.43411,0.45324,NaN,NaN,NaN,0.48247,
Gnf1,NaN,NaN,NaN,NaN,NaN,NaN,
Ptp99A,NaN,NaN,NaN,NaN,NaN,NaN,
Ptp10D,NaN,NaN,NaN,NaN,NaN,NaN,
wupA,3.0109,3.4118,2.3575,2.0749,3.5989,3.2457,
Def,NaN,NaN,NaN,NaN,NaN,NaN,
cin,0.4433,0.45478,0.41143,NaN,NaN,NaN,
Bx42,0.4326,0.48845,NaN,NaN,NaN,NaN,
ph-p;ph-d,NaN,NaN,NaN,NaN,NaN,NaN,
exd,NaN,NaN,0.24393,NaN,NaN,NaN,
Arf102F,NaN,NaN,NaN,NaN,NaN,0.83216,
Arf51F,1.254,2.1425,NaN,NaN,NaN,NaN,
TfIIFbeta,NaN,NaN,NaN,NaN,NaN,0.569,
01-Sep,NaN,NaN,0.56901,NaN,NaN,2.0627,
Moe,NaN,NaN,NaN,NaN,NaN,NaN,
dhd,NaN,NaN,NaN,NaN,NaN,NaN,
TpnC47D,0.1221,0.12453,0.15013,0.188,0.16581,0.11911,
CanB,1.2164,NaN,1.5173,NaN,1.3864,1.0877,
CanA1,NaN,NaN,0.32614,NaN,NaN,NaN,
Pp1alpha-96A,NaN,1.2056,NaN,NaN,NaN,NaN,
Eip63F-1,NaN,NaN,NaN,0.62688,NaN,NaN,
Pu,NaN,NaN,NaN,NaN,NaN,NaN,
dia,NaN,NaN,NaN,NaN,NaN,NaN,
Argk,0.2924,0.36018,0.37529,NaN,0.38581,NaN,
trpl,0.40468,0.13801,0.52778,0.1431,NaN,0.14941,
mnb,0.16502,0.47709,NaN,NaN,NaN,NaN,
Taf6,NaN,NaN,0.93282,NaN,NaN,NaN,
cni,NaN,NaN,NaN,NaN,NaN,NaN,
Srp19,NaN,NaN,0.56989,NaN,NaN,NaN,
Ahcy89E,0.21504,0.17297,0.48016,NaN,0.51355,0.11477,
dsh,NaN,NaN,0.23384,NaN,0.35209,0.26856,
hyd,NaN,NaN,NaN,NaN,NaN,NaN,
Pfk,NaN,NaN,NaN,NaN,NaN,NaN,
TfIIA-L,NaN,NaN,NaN,NaN,NaN,NaN,
alpha-Man-I,NaN,NaN,0.92079,NaN,NaN,NaN,
Mlp60A,NaN,NaN,NaN,NaN,NaN,NaN,
a5,NaN,NaN,NaN,NaN,NaN,NaN,
Pbprp5,NaN,NaN,9.7982,NaN,NaN,NaN,
g,0.26043,NaN,NaN,NaN,NaN,NaN,
mtSSB,NaN,2.4254,1.6584,NaN,NaN,NaN,
Pros54,0.59597,0.78072,0.66767,NaN,0.72001,0.52144,
faf,0.15592,0.3341,0.38648,0.85845,0.14885,0.21645,
RpS3A,NaN,NaN,NaN,NaN,NaN,NaN,
betaTub85D,NaN,NaN,NaN,NaN,NaN,NaN,
140up,NaN,1.2998,NaN,NaN,NaN,NaN,
CG7740,0.45892,1.3428,0.56861,NaN,0.69825,NaN,
Lcp9,NaN,NaN,NaN,NaN,NaN,NaN,
wibg,NaN,NaN,0.50431,NaN,NaN,NaN,
primo-1,NaN,NaN,NaN,0.90336,NaN,NaN,
Stim,0.18661,0.35935,0.42244,NaN,0.15251,NaN,
Wsck,NaN,NaN,NaN,NaN,NaN,NaN,
Pi3K92E,NaN,NaN,NaN,NaN,NaN,NaN,
Rh5,NaN,NaN,NaN,NaN,NaN,NaN,
mGluRA,NaN,NaN,NaN,NaN,NaN,NaN,
SamDC,0.31885,0.29343,1.319,NaN,0.20297,0.25709,
14-3-3epsilon,NaN,NaN,NaN,NaN,NaN,NaN,
14-3-3epsilon,NaN,NaN,NaN,NaN,NaN,NaN,
14-3-3epsilon,NaN,NaN,NaN,NaN,NaN,NaN,
Lcp65Ac,NaN,NaN,1.6598,1.0825,NaN,NaN,
Lcp65Ab1,NaN,NaN,NaN,NaN,NaN,2.7235,
Lcp65Ag1,NaN,NaN,NaN,NaN,NaN,NaN,
CaMKII,NaN,NaN,0.79913,NaN,NaN,NaN,
cpo,NaN,1.3372,1.2077,NaN,NaN,NaN,
r-l,0.39323,0.39426,0.32897,0.38292,0.42301,0.36907,
Rbp1,NaN,NaN,NaN,NaN,NaN,NaN,
hts,NaN,NaN,NaN,NaN,NaN,NaN,
Cpn,1.9704,1.5056,NaN,NaN,2.0043,NaN,
cact,NaN,NaN,0.50504,NaN,NaN,NaN,
for,0.21138,NaN,0.5066,NaN,NaN,0.19323,
Dr,NaN,NaN,NaN,NaN,NaN,NaN,
sas,0.44555,0.5858,0.48507,1.1286,0.53156,0.49944,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Galpha73B,NaN,NaN,NaN,NaN,NaN,NaN,
Ssrp,0.54207,0.47803,NaN,NaN,NaN,NaN,
SmB,NaN,NaN,NaN,NaN,NaN,NaN,
TfIIFalpha,NaN,NaN,1.9849,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Vm34Ca,NaN,NaN,NaN,NaN,NaN,NaN,
Arf84F,NaN,NaN,NaN,NaN,NaN,NaN,
ImpL2,NaN,1.6261,NaN,NaN,NaN,NaN,
hig,NaN,NaN,NaN,NaN,NaN,NaN,
fd68A,NaN,NaN,NaN,NaN,NaN,NaN,
Hexo1,1.1662,0.53842,NaN,3.5919,1.2699,0.70806,
MEP-1,NaN,NaN,0.687,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Vdup1,NaN,NaN,NaN,NaN,0.8356,NaN,
,NaN,0.44678,NaN,NaN,NaN,NaN,
btv,NaN,0.79847,NaN,NaN,NaN,NaN,
Sema-1a,NaN,NaN,1.3495,NaN,NaN,NaN,
CG17224-RB,NaN,NaN,NaN,NaN,NaN,NaN,
Hil,0.16892,0.2002,NaN,NaN,NaN,NaN,
SRPK,0.73607,NaN,NaN,NaN,NaN,0.29971,
aPKC,0.53084,0.52227,0.42805,NaN,0.40996,0.26549,
,NaN,NaN,NaN,NaN,NaN,NaN,
Dscam,0.26083,NaN,0.60515,0.3074,0.41474,NaN,
CG40286-RA,NaN,NaN,NaN,NaN,NaN,NaN,
p120ctn,0.24247,0.34697,NaN,1.4861,0.35798,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.34834,0.43987,0.39452,0.49244,0.41978,0.30921,
Tao,0.45548,0.84644,0.56367,NaN,NaN,0.23551,
Pfrx,NaN,0.82189,0.99491,NaN,NaN,0.96159,
Myo10A,NaN,NaN,NaN,NaN,NaN,NaN,
Imp,NaN,NaN,NaN,NaN,NaN,NaN,
CG32699,NaN,NaN,0.40402,NaN,NaN,NaN,
sgg,NaN,NaN,NaN,NaN,NaN,NaN,
CG13366-RB,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
SP1029,0.21793,0.2455,0.27578,0.16463,0.19679,0.20413,
,1.1661,NaN,NaN,NaN,NaN,NaN,
mld,NaN,NaN,NaN,NaN,NaN,NaN,
CG17271-RB,NaN,NaN,NaN,NaN,NaN,NaN,
Mhcl,0.211,0.28458,0.24264,NaN,0.21457,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.7654,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
mtd,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.76799,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Dap160,1.1407,0.86285,NaN,1.3418,1.3216,1.1949,
Myo61F,NaN,NaN,0.80033,0.82015,NaN,NaN,
qua,NaN,NaN,NaN,NaN,NaN,NaN,
fliI,0.13145,NaN,0.13388,NaN,NaN,NaN,
anon-i1,NaN,NaN,NaN,NaN,NaN,NaN,
b,NaN,NaN,NaN,NaN,NaN,NaN,
Snr1,NaN,NaN,NaN,NaN,NaN,NaN,
TH1,NaN,NaN,NaN,NaN,NaN,NaN,
Stat92E,NaN,NaN,NaN,NaN,NaN,NaN,
Deaf1,NaN,NaN,NaN,NaN,NaN,NaN,
hk,0.12539,0.14356,0.15349,0.57544,0.26769,0.32514,
RhoL,0.45528,NaN,0.82401,NaN,NaN,NaN,
Aph-4,NaN,NaN,0.61666,NaN,NaN,NaN,
mew,NaN,NaN,NaN,NaN,NaN,NaN,
SmF,0.87,NaN,0.59361,0.53996,0.6001,0.56966,
Iap2,NaN,NaN,NaN,NaN,NaN,NaN,
lin19,0.25841,0.25703,0.35601,0.98566,0.47649,0.2737,
Dp,NaN,NaN,NaN,NaN,NaN,NaN,
Dsor1,0.51911,0.40221,0.8509,NaN,NaN,NaN,
Taf2,NaN,NaN,NaN,NaN,NaN,NaN,
e(r),NaN,NaN,NaN,NaN,NaN,NaN,
alpha-Man-II,NaN,NaN,NaN,NaN,NaN,NaN,
Rbf,NaN,NaN,NaN,NaN,NaN,NaN,
RpA-70,NaN,NaN,0.92459,NaN,0.55398,NaN,
Ubp64E,1.2302,0.74446,2.6096,NaN,0.22151,0.55728,
e(y)1,NaN,NaN,NaN,NaN,NaN,NaN,
l(2)not,0.17518,NaN,NaN,NaN,NaN,NaN,
a10,NaN,3.0096,NaN,NaN,1.3623,1.3267,
Nos,NaN,NaN,NaN,NaN,NaN,NaN,
