Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2
Tim8,NaN,NaN,NaN,2.2123,2.2592,2.5402,2.2719,2.1923,NaN,1.7669,2.0213,2.2197,NaN,2.4792,2.0867,2.2184
,3.174,1.8676,3.1688,1.6044,2.855,1.5746,NaN,1.8548,NaN,2.0175,2.3494,2.2773,2.4843,2.4874,NaN,2.4566
CG34191,1.1944,1.2593,1.3683,1.051,1.0321,1.1308,1.6951,1.7587,1.5319,1.4502,1.6082,1.6734,NaN,2.597,1.7199,2.1759
,0.71422,0.60373,0.45491,0.49638,0.45652,0.78362,1.1491,1.2111,1.1107,1.1569,1.5586,1.6329,NaN,2.5976,1.7292,1.8865
GstE7,6.6618,NaN,4.4885,NaN,2.7171,NaN,2.8483,2.8765,1.3011,NaN,2.2297,NaN,NaN,2.6043,2.1871,3.8814
mRpS9,0.48643,0.40988,0.39273,0.33418,0.37955,0.43233,0.96741,0.72707,1.0228,1.0343,1.1244,1.0299,NaN,2.6114,1.3777,1.5055
Tor,1.2821,1.2184,1.0448,NaN,1.4218,2.2984,NaN,0.62376,0.67929,NaN,NaN,0.72694,NaN,2.9423,0.48186,0.35252
mRpL40,0.75893,0.64768,0.45276,0.38615,0.47813,0.36738,1.6803,1.5817,1.7326,1.3716,1.7428,1.7536,NaN,3.2731,2.2129,2.8963
,2.7338,1.8245,1.7171,1.7329,2.6213,2.8112,3.2805,2.2333,3.202,3.5018,2.8606,3.0969,NaN,3.7108,5.9381,3.9966
,2.3924,2.9051,1.2664,1.0217,0.87512,2.4779,2.007,NaN,1.543,1.7077,2.1825,1.6548,1.93,4.1515,NaN,1.8228
CalpB,0.62803,0.78274,0.54432,NaN,1.1236,0.88804,0.40614,1.2153,1.0172,1.2492,0.45252,0.83084,NaN,4.8057,0.75163,0.89874
,4.6492,4.5853,4.3641,3.6453,5.5738,6.4053,4.873,5.39,4.5724,4.4534,5.5595,6.1522,NaN,6.0658,7.4475,5.2279
Hsp67Bc,0.54529,0.41599,0.44638,0.51864,0.416,0.63564,2.1346,2.7119,2.3837,3.7807,2.59,2.6401,NaN,7.3337,3.7884,8.0395
Obp83b,NaN,14.934,NaN,NaN,6.01,6.4767,2.8902,4.8728,4.9698,6.1942,2.1012,1.752,NaN,7.5233,3.1287,3.4376
,3.7298,6.9638,3.7468,NaN,4.924,4.8478,1.2064,4.054,3.2691,1.7897,1.1139,0.92739,NaN,8.7083,3.4652,1.3117
CG12896-RA,3.8925,4.134,3.7128,3.0281,5.1305,4.4318,5.5782,6.069,5.7306,5.892,5.8466,4.9736,NaN,9.4959,6.0877,6.5833
,4.4283,4.4443,11.444,4.6611,3.7388,4.0189,9.3292,6.8754,3.3288,5.1488,5.885,4.6808,NaN,20.466,NaN,3.3512
MESR6,0.19775,0.32929,4.4365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.080067,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18303,NaN,NaN
skpB,NaN,NaN,0.96758,0.17047,NaN,NaN,NaN,0.26996,0.24429,NaN,NaN,0.31548,NaN,0.19817,0.77906,NaN
Cp36,NaN,NaN,NaN,NaN,NaN,NaN,0.11104,0.31623,NaN,NaN,NaN,NaN,NaN,0.23715,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2356,NaN,NaN,NaN,NaN,NaN,0.24137,NaN,NaN
Spn88Eb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46004,0.2619,NaN,NaN
smid,0.28347,0.34213,0.60358,NaN,0.47409,NaN,NaN,NaN,NaN,0.60435,0.27365,NaN,0.22452,0.26273,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27207,0.26858,NaN,NaN
,NaN,NaN,NaN,1.0418,NaN,NaN,NaN,NaN,0.89159,1.0804,NaN,NaN,1.047,0.28031,NaN,NaN
CG13759-RA,NaN,NaN,0.57235,NaN,NaN,NaN,NaN,0.45203,NaN,NaN,NaN,NaN,NaN,0.28396,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28493,NaN,NaN
,NaN,0.22977,0.18487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78429,NaN,0.12116,0.29379,NaN,NaN
Nc73EF,NaN,0.39776,0.44974,NaN,NaN,NaN,0.2334,NaN,NaN,NaN,NaN,NaN,0.37219,0.30331,NaN,NaN
Nup93-1,0.26031,0.33923,NaN,0.41915,0.94174,NaN,NaN,0.60878,NaN,NaN,0.40002,0.51465,0.49735,0.31158,NaN,NaN
CG31534-RB,0.43844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.31849,NaN,NaN
CG17544-RA,0.69581,0.33618,0.29237,NaN,0.31141,0.13502,NaN,0.45514,NaN,NaN,NaN,NaN,NaN,0.32676,NaN,NaN
Cyp6a17,0.63487,NaN,0.27356,NaN,NaN,NaN,0.7466,0.52182,0.9039,0.70742,NaN,0.69914,0.36939,0.33931,NaN,NaN
sec8,0.35085,0.25732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.35075,NaN,NaN
GluClalpha,0.27756,NaN,NaN,0.33266,NaN,0.39989,0.52488,NaN,0.70077,NaN,0.58361,0.97527,0.29394,0.35502,NaN,NaN
Ppat-Dpck,1.1858,NaN,0.24898,NaN,0.94243,NaN,NaN,0.70683,0.86775,NaN,NaN,NaN,NaN,0.37034,0.28421,NaN
CG1598,NaN,0.41063,0.43031,0.64089,0.47076,0.51237,0.77909,0.45169,0.46561,0.42786,0.45318,0.67481,0.97265,0.37869,NaN,NaN
Pak3,NaN,NaN,0.24155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37962,NaN,NaN
ABCB7,NaN,NaN,0.20123,0.6903,NaN,NaN,0.49742,0.25389,0.51815,0.45084,0.4672,0.45086,0.32462,0.39362,NaN,NaN
O-fut1,NaN,NaN,0.32506,NaN,0.21304,NaN,NaN,NaN,NaN,NaN,NaN,0.59629,NaN,0.39632,NaN,NaN
sec24,0.63074,NaN,0.22505,0.18508,0.29481,NaN,0.39252,0.34834,NaN,NaN,NaN,NaN,NaN,0.40224,NaN,NaN
CanA-14F,0.49872,0.2816,0.63922,NaN,0.52345,0.77746,0.33966,0.35687,0.67275,0.44919,NaN,0.76625,NaN,0.40403,NaN,NaN
,0.37616,0.36429,NaN,NaN,NaN,NaN,0.60535,0.43361,0.38747,NaN,NaN,NaN,0.43641,0.42351,NaN,NaN
zetaCOP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44703,NaN,NaN
Cg25C,0.54513,0.60989,0.5267,NaN,NaN,NaN,0.39071,NaN,0.76098,0.52214,0.6533,0.71027,0.51544,0.45865,NaN,NaN
CG30185;Gr59f,NaN,0.84864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46893,NaN,NaN
RanGap,0.4966,0.30494,0.51276,NaN,0.39801,0.44049,0.58699,0.55687,0.33859,0.39051,0.65873,0.75279,NaN,0.47731,NaN,NaN
Ac76E,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.49949,NaN,NaN,NaN,NaN,0.4858,NaN,NaN
TotM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.65819,0.50869,NaN,NaN
CG11583,NaN,NaN,0.38988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44929,0.47241,0.53387,0.50965,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51042,NaN,NaN
Pi4KIIalpha,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.514,NaN,NaN
uif,0.21238,0.21692,0.23941,0.26105,0.20039,0.28109,2.8238,NaN,NaN,0.98461,1.0353,0.47497,1.3195,0.52561,NaN,NaN
CG6136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.53295,NaN,NaN
CG4538-RA,0.384,0.38609,0.46567,0.27953,0.40932,0.36004,0.60097,0.41737,NaN,0.4188,0.67621,1.1637,0.86759,0.53557,NaN,NaN
CG42486-RA,0.85668,0.82646,NaN,NaN,NaN,NaN,0.65938,0.56151,NaN,0.71905,0.46846,0.61092,0.50253,0.53886,NaN,NaN
Jheh3,NaN,NaN,NaN,NaN,NaN,NaN,0.81406,NaN,0.72264,1.3111,0.5489,NaN,NaN,0.54785,0.57382,NaN
GS,0.39504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.55531,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.71991,0.73266,NaN,0.56333,NaN,NaN
RhoGAP100F,0.22813,0.44626,0.64538,NaN,NaN,0.48462,NaN,NaN,0.7671,0.88807,NaN,NaN,0.3815,0.61759,NaN,NaN
HtrA2,NaN,0.89396,NaN,1.3726,NaN,NaN,0.71562,0.77352,NaN,NaN,NaN,0.60996,0.57156,0.6272,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.63092,NaN,NaN
CG15187,0.42149,0.34462,1.0163,NaN,1.2048,0.52913,0.83499,1.0714,NaN,NaN,1.2105,NaN,0.89141,0.63469,NaN,NaN
,NaN,NaN,NaN,NaN,0.52235,0.45815,0.64886,0.604,NaN,NaN,NaN,NaN,NaN,0.69973,NaN,NaN
CG15617-RA,NaN,NaN,NaN,NaN,NaN,NaN,0.59932,NaN,0.58993,0.63673,1.3362,1.0377,NaN,0.74767,NaN,NaN
Moca-cyp,0.48782,NaN,0.56103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.76882,NaN,NaN
Patronin;ssp4,NaN,1.5595,0.76826,NaN,NaN,NaN,NaN,NaN,NaN,1.1816,NaN,NaN,NaN,0.77522,NaN,NaN
CG17837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.83456,NaN,NaN,NaN,0.35542,0.78027,NaN,NaN
Ras64B,0.40696,0.52714,0.63519,0.41916,NaN,NaN,0.74996,0.86495,0.98709,0.79827,0.75006,NaN,0.66104,0.80731,NaN,NaN
AP-1mu,0.49161,0.72732,NaN,0.53938,NaN,0.50956,0.76346,NaN,0.8309,NaN,NaN,1.0095,NaN,0.83053,0.57807,NaN
,0.80974,0.63071,NaN,NaN,0.67783,2.1176,NaN,1.1284,1.7182,1.1309,1.008,0.81984,NaN,0.85696,0.7795,NaN
,NaN,0.95197,NaN,NaN,NaN,NaN,0.93901,NaN,NaN,NaN,NaN,NaN,NaN,0.88532,NaN,NaN
,0.99836,1.1043,NaN,1.0855,1.4298,NaN,1.03,NaN,1.0304,1.1547,0.97662,NaN,0.68318,0.89725,NaN,NaN
,NaN,NaN,NaN,1.5865,NaN,NaN,NaN,0.69065,0.71027,NaN,0.92836,NaN,0.56071,0.90439,NaN,NaN
l(2)35Bg,0.51586,0.4968,NaN,NaN,NaN,NaN,0.63164,NaN,NaN,0.76544,0.48636,0.5003,0.88367,0.9134,NaN,NaN
usnp,0.71423,NaN,0.86109,NaN,0.65982,NaN,1.0085,NaN,0.80874,NaN,NaN,0.84122,0.82383,0.93449,NaN,NaN
aru,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93832,NaN,NaN
Dcp1,0.36166,NaN,0.57295,NaN,0.67434,0.37487,NaN,NaN,0.66981,NaN,NaN,NaN,NaN,0.93909,NaN,NaN
TwdlBeta,NaN,NaN,0.95911,NaN,1.0837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.94713,NaN,NaN
RIC-3,0.75758,0.97361,0.99038,0.63304,1.3673,0.81962,NaN,0.93975,NaN,1.1416,NaN,1.2779,2.0118,0.97417,NaN,NaN
sgl,0.38129,0.28341,0.69093,1.1762,NaN,1.0286,0.49014,0.40253,NaN,0.57577,NaN,NaN,NaN,0.98091,NaN,NaN
,NaN,13.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79545,0.99313,NaN,NaN
Srp14,0.7537,0.71893,0.68917,NaN,0.6148,NaN,NaN,NaN,NaN,1.0919,NaN,NaN,1.0965,1.0807,NaN,NaN
Rox8,NaN,0.48701,0.36908,0.99721,0.35831,0.3694,0.69464,NaN,7.071,0.64589,NaN,0.676,NaN,1.0901,NaN,NaN
,NaN,0.53356,NaN,NaN,0.56962,0.29177,NaN,NaN,1.9416,0.84824,NaN,NaN,NaN,1.1255,NaN,NaN
slik,0.34541,0.069384,0.44686,NaN,NaN,1.2644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1594,NaN,NaN
Gos28,NaN,NaN,NaN,NaN,NaN,0.67866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2257,NaN,NaN
PPP4R2r,0.71859,NaN,0.67614,NaN,NaN,NaN,1.0891,NaN,NaN,NaN,NaN,NaN,NaN,1.2392,NaN,NaN
dally,1.0197,0.84353,NaN,NaN,0.68859,0.74813,NaN,1.0139,NaN,1.1407,NaN,0.90746,NaN,1.2483,0.98282,NaN
CG33506-RA,0.88157,1.0353,1.0861,0.67395,0.7933,0.85215,1.1319,1.4567,1.4318,NaN,1.4052,1.5822,NaN,1.2643,1.1734,NaN
nero,NaN,NaN,NaN,NaN,NaN,NaN,0.68676,NaN,NaN,NaN,NaN,NaN,NaN,1.2751,NaN,NaN
nrm,NaN,1.0549,NaN,NaN,NaN,0.8347,1.6117,NaN,NaN,NaN,NaN,1.3981,NaN,1.2819,1.2911,NaN
,NaN,0.66984,1.6089,NaN,NaN,NaN,1.2234,NaN,NaN,NaN,1.2436,1.3008,NaN,1.3612,NaN,NaN
Ccp84Ag,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4364,NaN,NaN
mRpL46,0.32508,0.51104,0.72103,0.66759,0.30682,0.3319,NaN,0.71818,0.97321,NaN,1.1959,1.1675,NaN,1.4504,1.3371,NaN
,0.85185,1.5895,0.96667,0.63259,1.0302,0.85927,1.4849,1.472,NaN,0.92797,1.1272,NaN,NaN,1.5597,1.0158,NaN
mRpL50,NaN,0.75197,0.75072,NaN,0.72128,0.80103,NaN,NaN,1.4274,NaN,NaN,NaN,NaN,1.5649,NaN,NaN
,0.62425,0.78098,0.73958,NaN,NaN,NaN,NaN,NaN,NaN,1.3096,NaN,NaN,NaN,1.5688,NaN,NaN
Obp57a,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5788,NaN,NaN
mrj,NaN,NaN,1.0498,NaN,NaN,NaN,NaN,NaN,1.2091,NaN,NaN,1.0505,NaN,1.6012,NaN,NaN
CG5532,1.5537,1.583,1.8112,NaN,1.6294,1.4691,1.3901,1.3313,1.3384,1.3662,NaN,NaN,1.7387,1.6036,NaN,NaN
,0.66408,0.6491,0.79771,NaN,0.69494,0.642,0.9736,0.79368,1.3133,1.1998,NaN,1.1039,NaN,1.6924,1.2509,NaN
,NaN,1.4216,1.5408,NaN,1.5502,1.6584,1.4146,NaN,NaN,NaN,1.8422,NaN,NaN,1.7038,1.3722,NaN
,0.82409,0.9339,NaN,NaN,NaN,0.90078,NaN,NaN,NaN,1.1741,1.0148,1.0298,1.5831,1.7374,NaN,NaN
atilla,NaN,NaN,1.2142,NaN,0.9769,1.1886,1.937,NaN,2.0988,1.999,1.6831,1.4499,NaN,1.745,1.7907,NaN
beat-VII,NaN,NaN,NaN,NaN,NaN,2.3172,NaN,NaN,1.9304,1.6807,NaN,NaN,NaN,1.807,1.8351,NaN
,1.1477,1.0027,0.79937,0.69042,0.9154,0.86874,NaN,NaN,1.1547,NaN,1.6492,0.90747,0.9668,1.8217,NaN,NaN
l(3)neo43,NaN,NaN,NaN,2.656,2.5036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8308,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8818,NaN,NaN
RpII215,0.60314,3.4265,0.58098,1.8865,2.0299,3.2468,0.64802,0.65051,NaN,1.5475,1.3234,0.72733,NaN,1.8902,NaN,NaN
CG42487-RA,NaN,NaN,NaN,NaN,NaN,NaN,1.9159,NaN,NaN,1.0617,1.8542,1.6902,NaN,1.9211,NaN,NaN
RpS29,NaN,0.88578,0.56094,1.7521,0.84053,1.4893,0.57853,0.70018,0.97074,1.1398,0.62292,0.79915,NaN,1.945,2.525,NaN
Rsf1,NaN,0.86666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9584,NaN,NaN
Ect3,0.51578,0.88736,0.53785,0.57639,0.65885,0.57778,NaN,1.6497,NaN,NaN,2.1099,1.3557,NaN,2.0159,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0463,NaN,NaN
,0.94151,1.0042,0.99699,1.4033,1.2156,1.0546,1.5412,1.7723,NaN,NaN,1.9341,1.8484,2.2024,2.2418,NaN,NaN
RnpS1,0.71093,0.90355,1.3146,0.77512,0.79463,0.80329,NaN,2.0348,1.5937,NaN,NaN,NaN,1.6783,2.3223,NaN,NaN
mRpL28,1.1755,1.0397,0.48997,0.41286,0.67973,0.91861,NaN,2.0737,1.9637,2.1806,1.9411,1.957,NaN,2.4426,NaN,NaN
CG10635,1.1822,0.64099,0.9109,0.80205,NaN,1.0732,2.5187,NaN,NaN,2.1133,1.8389,2.2393,NaN,2.61,NaN,NaN
Sh,NaN,NaN,NaN,1.7362,NaN,NaN,0.40391,NaN,0.41748,NaN,NaN,0.3736,1.5115,3.3986,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,0.30321,NaN,NaN,0.33402,NaN,NaN,NaN,3.6153,NaN,NaN
CG7280,NaN,1.1368,NaN,NaN,NaN,1.0661,NaN,NaN,0.85738,0.78102,NaN,NaN,NaN,4.8996,NaN,NaN
Prosbeta1,0.38624,0.92861,0.48584,NaN,0.3227,0.91571,0.82411,0.74704,NaN,0.99397,0.71942,0.70675,NaN,NaN,NaN,NaN
yrt,NaN,NaN,1.0123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG34242-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nup75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
spz,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
laccase2,NaN,NaN,0.35179,NaN,NaN,1.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG17508-RA,NaN,1.3145,NaN,NaN,1.5848,NaN,NaN,NaN,NaN,1.0231,NaN,NaN,NaN,NaN,0.80304,0.87145
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8245-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
vlc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hsepi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG3270-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51651,NaN
l(2)01289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Eb1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.91572,0.82569,NaN,NaN,NaN,0.96458
koi,NaN,NaN,0.59938,NaN,NaN,NaN,NaN,0.64119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG1383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cn,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8726-RB,0.20287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Asap1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mal-A6,NaN,NaN,NaN,NaN,0.81025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8586-RA,NaN,0.36437,NaN,NaN,0.22657,NaN,NaN,NaN,NaN,0.44004,NaN,NaN,NaN,NaN,0.19946,0.72298
sec31,0.24259,0.23091,0.383,NaN,0.21866,0.24294,0.48736,0.43563,NaN,NaN,0.24368,0.65424,NaN,NaN,NaN,0.29072
CG8243-RA,NaN,NaN,0.29684,4.3261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.2467,0.51213,0.19547,NaN,0.53537,0.18298,NaN,0.34152,NaN,0.36087,NaN,NaN,NaN,NaN,NaN,NaN
Ance-4,0.28241,0.22146,0.63972,0.46681,0.3166,0.23204,NaN,NaN,0.89296,NaN,NaN,1.5116,NaN,NaN,NaN,NaN
Pmm45A,0.30053,NaN,0.25388,0.43923,0.15642,0.18117,0.23843,0.21869,NaN,0.18326,NaN,NaN,0.50153,NaN,NaN,0.28998
Su(var)2-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hydr1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.33077,NaN,NaN,NaN,NaN,NaN,0.33786
alc,0.89484,0.63154,NaN,NaN,0.58941,NaN,NaN,0.79032,0.5788,0.77556,NaN,0.62753,NaN,NaN,0.7932,NaN
Rme-8,0.39209,0.20579,0.23826,NaN,2.0107,0.12421,0.42497,0.49349,0.63629,0.42424,NaN,0.3664,NaN,NaN,0.44197,1.2702
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pkn,0.2541,0.23694,0.35755,NaN,0.22636,0.2672,0.16162,0.27138,0.28096,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GstT2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.98543,NaN,NaN,NaN,NaN,NaN,NaN
,1.0325,1.2361,0.85013,0.6723,0.37774,0.43303,1.4866,0.64044,0.81622,0.726,0.50825,0.57534,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ccs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAP,NaN,NaN,0.48449,NaN,NaN,0.87441,NaN,NaN,0.26658,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nclb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG18004-RB;CG18004-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.44115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.30236,0.27358,NaN,0.33032,0.26594,NaN,0.8509,0.9928,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rho-7,0.62016,0.71778,NaN,0.77208,NaN,NaN,0.81572,0.79986,0.79199,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mppe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prp8,0.43795,0.44639,0.28728,0.28419,0.21605,0.98615,0.50722,0.57807,0.47889,0.75494,NaN,NaN,NaN,NaN,NaN,NaN
RpS11,0.13069,0.28917,0.17669,0.15265,0.21335,0.19981,0.55336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
garz,0.94889,0.7747,1.7603,NaN,0.24808,0.1768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cpr49Ag,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7924,NaN,NaN,NaN,NaN,NaN,NaN
Dyb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8545-RA,NaN,NaN,1.2037,1.5307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4646,NaN,1.9905,1.1953,NaN,NaN,1.4997,NaN,NaN,1.586,NaN,NaN,2.0271,2.3516,NaN,NaN,NaN
CG4679,0.23091,0.32706,0.33631,0.25546,0.38776,0.20502,0.3718,0.77736,0.40919,0.36472,0.47163,0.49506,NaN,NaN,0.46767,NaN
CG10799-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mip120,0.47888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.73118,0.54992,2.3382,NaN,NaN,NaN,0.54142
mRpL53,1.3095,2.3568,2.7172,0.60229,4.4934,0.52878,NaN,NaN,2.0664,NaN,NaN,NaN,NaN,NaN,NaN,NaN
