Gene names, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2
,1.8929,1.937,1.3316,1.5168,1.7745,NaN
,0.50546,0.36774,NaN,NaN,NaN,NaN
CG12355-RA,NaN,NaN,NaN,NaN,NaN,NaN
l(3)72Do,1.4906,1.3819,NaN,1.0064,1.1782,1.2223
Abl,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Shal,NaN,NaN,NaN,NaN,NaN,NaN
Ten-m,NaN,NaN,NaN,NaN,NaN,NaN
ArfGAP3,0.85194,NaN,0.49192,0.80635,1.0163,0.89554
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,0.34885
pyd,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.17964,NaN,NaN
Dh44,NaN,NaN,NaN,NaN,NaN,NaN
Pnn,NaN,NaN,NaN,NaN,NaN,NaN
cu,NaN,NaN,NaN,NaN,NaN,NaN
NijC,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
btsz,NaN,NaN,NaN,NaN,NaN,NaN
,0.97879,NaN,0.64951,NaN,0.49277,0.6156
Efa6,NaN,NaN,NaN,NaN,NaN,NaN
Pli,NaN,NaN,NaN,NaN,NaN,NaN
CG6422-RB,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CHKov1,NaN,NaN,NaN,NaN,NaN,NaN
LpR1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
sda,NaN,NaN,NaN,NaN,NaN,NaN
woc,NaN,NaN,NaN,NaN,NaN,1.787
Hayan,NaN,NaN,NaN,NaN,NaN,NaN
Sec16,NaN,NaN,NaN,NaN,NaN,0.46074
Rnp4F,0.59014,NaN,NaN,NaN,1.1453,0.50245
CG14445-RB,NaN,NaN,NaN,0.33349,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Nup153,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG40498-RF,1.3483,1.5195,1.379,1.6287,1.4817,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,4.12,NaN,NaN,NaN,NaN
Gfat1,0.13393,NaN,NaN,NaN,NaN,NaN
how,NaN,NaN,NaN,NaN,NaN,NaN
Sfp87B,NaN,NaN,NaN,NaN,NaN,NaN
CG9801;CG9801-RA,NaN,NaN,NaN,NaN,NaN,NaN
CG8909-RB,NaN,NaN,NaN,NaN,NaN,NaN
metro,NaN,NaN,NaN,NaN,NaN,NaN
mbl,NaN,NaN,NaN,NaN,NaN,NaN
Jabba,0.49503,0.46038,0.44584,0.42189,0.66507,0.66047
tn,NaN,0.29365,NaN,NaN,NaN,NaN
CG30387,NaN,NaN,NaN,NaN,NaN,NaN
Sdc,NaN,NaN,NaN,NaN,NaN,NaN
CG9865-RA,1.9975,NaN,NaN,NaN,NaN,NaN
CG9865-RA,NaN,NaN,NaN,NaN,NaN,NaN
St3,NaN,0.63288,NaN,NaN,0.66325,0.77296
Nurf-38,NaN,NaN,NaN,NaN,NaN,NaN
Fis1,NaN,NaN,NaN,NaN,NaN,NaN
CG8740-RB,NaN,NaN,NaN,NaN,NaN,NaN
CG31869-RB,NaN,NaN,NaN,NaN,NaN,NaN
Su(dx),NaN,NaN,NaN,NaN,NaN,NaN
CG42371-RA,NaN,NaN,NaN,NaN,NaN,NaN
Rrp1,NaN,NaN,NaN,NaN,NaN,NaN
kis,NaN,NaN,NaN,NaN,NaN,NaN
drongo,NaN,NaN,NaN,NaN,NaN,NaN
pgant4,NaN,NaN,NaN,NaN,NaN,NaN
fred,NaN,NaN,NaN,NaN,NaN,NaN
PDZ-GEF,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAP71E,NaN,NaN,NaN,NaN,NaN,NaN
Nedd4,0.48841,NaN,NaN,NaN,NaN,0.44662
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,1.5978,NaN
mus312-RD,NaN,1.2842,NaN,NaN,1.4969,1.1184
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
nudE,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
cher,NaN,NaN,3.1252,NaN,NaN,NaN
CG6364,NaN,NaN,NaN,NaN,NaN,NaN
Lerp,NaN,NaN,NaN,NaN,NaN,NaN
spg,NaN,NaN,NaN,NaN,NaN,NaN
mtd,NaN,NaN,NaN,NaN,NaN,NaN
MTA1-like,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Pak,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.65985,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
rg,NaN,NaN,NaN,NaN,0.86779,0.57778
CG42323-RC,NaN,NaN,NaN,NaN,NaN,NaN
tlk,NaN,NaN,NaN,NaN,NaN,NaN
CG4928,NaN,2.5025,NaN,NaN,1.6938,NaN
nemy,NaN,NaN,NaN,NaN,NaN,NaN
Sclp,NaN,NaN,NaN,NaN,NaN,NaN
Sfp96F,NaN,NaN,NaN,NaN,NaN,NaN
Evi5;CG11727,NaN,NaN,NaN,NaN,NaN,NaN
Eph,NaN,NaN,NaN,NaN,NaN,NaN
CaMKII,NaN,NaN,NaN,NaN,NaN,NaN
CaMKII,NaN,NaN,NaN,0.55187,NaN,NaN
ssh,NaN,NaN,NaN,NaN,NaN,NaN
stau,NaN,NaN,NaN,NaN,NaN,NaN
lolal,1.0127,0.87232,0.84685,0.99174,NaN,NaN
,NaN,NaN,NaN,NaN,3.9803,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Tim10-RA,NaN,NaN,NaN,NaN,NaN,NaN
G-salpha60A;Galphas,NaN,NaN,NaN,NaN,NaN,NaN
l(2)01289,NaN,NaN,NaN,NaN,NaN,NaN
CSN4,NaN,0.65229,0.88696,0.98657,NaN,NaN
Mlf,NaN,NaN,NaN,NaN,NaN,NaN
Kr-h2,NaN,NaN,NaN,NaN,NaN,NaN
Piezo,NaN,NaN,NaN,NaN,NaN,NaN
GlcAT-S,NaN,NaN,NaN,NaN,NaN,NaN
yuri,NaN,NaN,NaN,NaN,NaN,NaN
Dif,0.30483,NaN,NaN,NaN,NaN,NaN
CG14397-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG2131,NaN,NaN,NaN,NaN,NaN,NaN
galectin,0.92268,NaN,NaN,NaN,0.47957,0.69427
E(bx),NaN,NaN,NaN,NaN,NaN,NaN
CG7611,NaN,NaN,NaN,NaN,NaN,NaN
Pop2,NaN,NaN,NaN,NaN,NaN,NaN
pHCl,NaN,0.37649,NaN,NaN,NaN,NaN
Dscam2,NaN,NaN,NaN,NaN,NaN,NaN
Snmp2,NaN,NaN,NaN,NaN,NaN,NaN
syd,0.54551,NaN,NaN,NaN,NaN,NaN
Zasp66,NaN,NaN,NaN,NaN,NaN,NaN
CG5021,NaN,NaN,NaN,NaN,NaN,NaN
TfIIEbeta,NaN,NaN,NaN,NaN,NaN,NaN
mp,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Octbeta2R,NaN,NaN,NaN,NaN,NaN,NaN
Su(var)3-7,NaN,NaN,NaN,NaN,NaN,NaN
mRpS10,NaN,1.1306,0.66144,NaN,0.93611,0.80381
msps,0.26428,NaN,NaN,NaN,NaN,NaN
Pxd,NaN,NaN,NaN,NaN,NaN,NaN
osa,NaN,NaN,NaN,NaN,NaN,NaN
CG7956-RA,NaN,NaN,NaN,4.4443,NaN,0.89809
Irk2,0.70213,NaN,NaN,NaN,NaN,NaN
nct,NaN,NaN,NaN,NaN,NaN,NaN
CG4673;Npl4,0.43304,0.38062,0.41926,0.35577,0.30713,0.37158
tmod,NaN,NaN,NaN,NaN,NaN,NaN
CG31004;mesh,NaN,0.72439,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG1307,NaN,NaN,NaN,NaN,NaN,NaN
PsGEF,NaN,NaN,NaN,NaN,NaN,NaN
tyf,NaN,1.194,NaN,NaN,NaN,NaN
rb,NaN,NaN,NaN,NaN,NaN,NaN
Cp38,0.12772,NaN,NaN,NaN,NaN,NaN
fs(1)h,NaN,NaN,NaN,NaN,NaN,NaN
Imp,NaN,NaN,NaN,NaN,NaN,NaN
gfA,NaN,NaN,NaN,NaN,NaN,NaN
CG17065,NaN,NaN,NaN,NaN,NaN,NaN
GstT3,NaN,NaN,NaN,NaN,NaN,NaN
Tango11,1.9036,NaN,1.8729,NaN,NaN,NaN
milt,NaN,NaN,NaN,NaN,NaN,NaN
tho2,NaN,NaN,NaN,NaN,NaN,NaN
CG43427,NaN,NaN,NaN,NaN,NaN,NaN
CG1129,0.54181,NaN,NaN,NaN,0.51624,0.49006
CG2982,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cbp80,0.22385,0.25096,2.2188,NaN,0.2503,NaN
Ice,NaN,NaN,NaN,NaN,NaN,NaN
Aats-phe,NaN,NaN,NaN,NaN,NaN,NaN
Peritrophin-A,NaN,NaN,NaN,NaN,NaN,NaN
Fs(2)Ket,NaN,NaN,NaN,NaN,0.24423,0.24447
pn,0.57453,0.75949,NaN,NaN,NaN,NaN
Surf4,0.53799,NaN,NaN,NaN,0.75498,NaN
SNF1A,NaN,NaN,NaN,NaN,NaN,NaN
wbl,NaN,NaN,NaN,NaN,NaN,NaN
qkr58E-3,NaN,NaN,NaN,NaN,NaN,NaN
Cbl,NaN,NaN,NaN,NaN,NaN,NaN
msta,NaN,NaN,NaN,NaN,NaN,NaN
EG:39E1.2,NaN,NaN,NaN,NaN,NaN,NaN
Pgam5,NaN,NaN,NaN,NaN,NaN,NaN
Ocrl,NaN,NaN,NaN,NaN,NaN,NaN
fs(1)N,NaN,NaN,NaN,NaN,NaN,NaN
noi,NaN,NaN,NaN,NaN,0.64615,NaN
Acp53Ea,NaN,NaN,NaN,NaN,NaN,NaN
Acp62F,NaN,NaN,NaN,NaN,NaN,NaN
crol,NaN,NaN,NaN,NaN,NaN,NaN
Mkk4,NaN,NaN,NaN,NaN,NaN,NaN
Flo,NaN,NaN,NaN,NaN,NaN,NaN
Flo-2,NaN,NaN,NaN,NaN,NaN,NaN
Fim,NaN,NaN,NaN,NaN,NaN,NaN
lic,0.42673,NaN,NaN,NaN,NaN,0.41194
dco,NaN,NaN,NaN,0.76846,NaN,NaN
Kap-alpha1,NaN,NaN,NaN,NaN,NaN,NaN
BCL7-like,NaN,NaN,NaN,NaN,NaN,NaN
eIF2B-beta,NaN,NaN,NaN,NaN,NaN,NaN
EG:125H10.1,NaN,1.5973,NaN,NaN,NaN,NaN
ssx,0.85004,0.94787,NaN,1.0246,NaN,NaN
CG11448,0.86563,1.0305,1.3122,NaN,NaN,1.201
anon-3B1.2,0.48709,NaN,NaN,NaN,NaN,NaN
arg,NaN,NaN,NaN,NaN,NaN,NaN
pck,NaN,NaN,NaN,NaN,NaN,NaN
Pp4-19C,NaN,NaN,NaN,NaN,NaN,NaN
CG4045,NaN,NaN,NaN,NaN,NaN,NaN
Sec22,NaN,NaN,1.1908,NaN,NaN,NaN
Ate1,NaN,NaN,0.33924,NaN,NaN,0.31285
EG:131F2.3,NaN,NaN,NaN,NaN,NaN,NaN
CG1315,NaN,NaN,NaN,NaN,NaN,NaN
par-6,NaN,NaN,NaN,NaN,NaN,NaN
RpII33,NaN,NaN,NaN,NaN,NaN,NaN
l(1)10Bb,NaN,NaN,NaN,NaN,NaN,NaN
Src64B,NaN,NaN,NaN,NaN,NaN,NaN
Sgs3,NaN,NaN,NaN,NaN,NaN,NaN
Sgs7,NaN,NaN,NaN,NaN,NaN,NaN
nAcRbeta-64B,NaN,0.8794,1.3629,NaN,NaN,1.5041
Rh3,NaN,NaN,NaN,NaN,NaN,NaN
Adf1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.40909,NaN,NaN,NaN,NaN
,0.26787,0.15443,0.1812,0.17847,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Hsp67Ba,NaN,NaN,NaN,NaN,NaN,NaN
r,NaN,NaN,NaN,NaN,NaN,NaN
alphaTub85E,NaN,NaN,NaN,0.23238,NaN,NaN
Tm1,NaN,NaN,NaN,NaN,NaN,NaN
Tm1,NaN,2.4028,NaN,2.236,1.4153,1.7532
Cp19,NaN,NaN,NaN,NaN,NaN,NaN
LvpH,NaN,NaN,NaN,NaN,NaN,NaN
Sgs5,NaN,NaN,NaN,NaN,NaN,NaN
Ald,NaN,NaN,NaN,0.54541,NaN,NaN
RpII140,NaN,0.52248,NaN,NaN,NaN,NaN
ry,NaN,0.14999,NaN,0.3469,NaN,NaN
Fmrf,NaN,NaN,NaN,NaN,NaN,NaN
Fas1,NaN,NaN,NaN,NaN,NaN,NaN
tko,NaN,NaN,NaN,NaN,NaN,NaN
Hsc70-2,NaN,NaN,NaN,NaN,NaN,NaN
phl,NaN,NaN,NaN,NaN,NaN,NaN
Aprt,NaN,NaN,NaN,NaN,NaN,NaN
Pp1-87B;Pp1-13C,NaN,0.6334,NaN,NaN,NaN,NaN
RpS26,NaN,NaN,NaN,NaN,NaN,NaN
norpA,NaN,NaN,NaN,NaN,NaN,NaN
Atpalpha,NaN,NaN,NaN,NaN,NaN,NaN
Appl,NaN,NaN,NaN,NaN,NaN,NaN
Fas3,NaN,NaN,NaN,NaN,NaN,NaN
gro,NaN,NaN,NaN,NaN,0.80757,0.4263
numb,NaN,NaN,NaN,NaN,NaN,NaN
BicD,0.60058,NaN,0.71141,0.63143,0.55547,0.38
Pka-C3,NaN,NaN,NaN,NaN,NaN,NaN
ttk,NaN,NaN,NaN,NaN,NaN,NaN
crn,NaN,NaN,NaN,NaN,NaN,NaN
mus209,NaN,NaN,NaN,NaN,NaN,NaN
Fps85D,NaN,NaN,NaN,NaN,NaN,NaN
01-Dec,0.19518,NaN,NaN,NaN,NaN,NaN
Gld,NaN,0.73526,NaN,0.6949,0.7639,0.85493
sgg,NaN,NaN,NaN,NaN,NaN,NaN
anon-37Cs,NaN,NaN,NaN,NaN,NaN,NaN
arm,NaN,0.45278,NaN,NaN,0.46523,0.39144
mt:ND1,NaN,0.68691,NaN,NaN,NaN,NaN
mt:ND3,0.71014,1.472,NaN,1.062,1.1249,NaN
mt:ND4,NaN,NaN,NaN,NaN,NaN,NaN
Sxl,NaN,NaN,NaN,NaN,NaN,NaN
up,NaN,NaN,NaN,NaN,NaN,NaN
up,NaN,NaN,NaN,NaN,NaN,NaN
Pepck,NaN,0.57154,NaN,0.75801,0.72381,0.50508
v,0.68994,NaN,0.80269,NaN,0.34078,0.57729
G-ialpha65A,0.80123,NaN,NaN,NaN,NaN,NaN
Anp,NaN,NaN,NaN,NaN,NaN,NaN
AnnIX,NaN,NaN,NaN,NaN,NaN,NaN
AnnX,NaN,NaN,NaN,NaN,NaN,NaN
Ca-P60A,NaN,NaN,NaN,NaN,NaN,NaN
bam,NaN,NaN,NaN,NaN,NaN,NaN
Cp16,NaN,0.30475,NaN,NaN,NaN,NaN
gammaTub23C,NaN,NaN,NaN,NaN,NaN,NaN
mts,NaN,NaN,NaN,NaN,NaN,NaN
Rdl,0.81344,NaN,NaN,NaN,NaN,NaN
UbcD6,NaN,NaN,NaN,NaN,NaN,NaN
Arf72A,1.2407,1.3906,0.98801,NaN,1.257,1.2868
pum,NaN,NaN,NaN,NaN,NaN,NaN
tud,NaN,NaN,NaN,NaN,NaN,NaN
eff,1.3424,NaN,2.4967,NaN,NaN,NaN
su(f),NaN,NaN,NaN,NaN,NaN,NaN
Fur1,NaN,NaN,NaN,NaN,NaN,NaN
TfIIB,NaN,NaN,NaN,NaN,NaN,NaN
csw,NaN,NaN,NaN,NaN,NaN,NaN
Itp-r83A,NaN,NaN,NaN,NaN,0.17289,0.24693
Top1,NaN,NaN,NaN,NaN,NaN,NaN
dlg1,NaN,NaN,NaN,NaN,NaN,NaN
dlg1,NaN,NaN,NaN,NaN,NaN,NaN
Gprk2,0.32439,0.62687,NaN,0.4632,NaN,1.0382
Gnf1,NaN,NaN,NaN,NaN,NaN,NaN
Ptp99A,NaN,NaN,0.21,NaN,NaN,NaN
Ptp10D,NaN,NaN,NaN,NaN,NaN,NaN
wupA,1.2028,1.5664,NaN,NaN,2.4284,2.0821
Def,NaN,NaN,NaN,NaN,NaN,NaN
cin,0.18648,NaN,0.27638,0.35303,NaN,0.23457
Bx42,NaN,NaN,NaN,NaN,NaN,NaN
ph-p;ph-d,NaN,NaN,NaN,NaN,NaN,NaN
exd,NaN,NaN,NaN,NaN,NaN,NaN
Arf102F,NaN,NaN,NaN,NaN,1.4812,1.0126
Arf51F,NaN,NaN,NaN,1.3019,1.0474,NaN
TfIIFbeta,NaN,NaN,NaN,NaN,NaN,NaN
01-Sep,NaN,NaN,NaN,NaN,NaN,NaN
Moe,NaN,NaN,NaN,NaN,NaN,NaN
dhd,NaN,NaN,NaN,NaN,NaN,NaN
TpnC47D,NaN,NaN,NaN,NaN,NaN,NaN
CanB,1.0343,NaN,NaN,1.0075,0.87029,1.1604
CanA1,NaN,NaN,NaN,NaN,NaN,NaN
Pp1alpha-96A,NaN,NaN,0.5827,NaN,NaN,NaN
Eip63F-1,NaN,NaN,NaN,NaN,NaN,NaN
Pu,NaN,NaN,NaN,NaN,NaN,NaN
dia,NaN,NaN,NaN,NaN,NaN,NaN
Argk,0.99429,0.84744,NaN,1.0132,1.0067,0.96347
trpl,NaN,NaN,NaN,NaN,NaN,NaN
mnb,NaN,NaN,NaN,NaN,NaN,NaN
Taf6,NaN,0.2259,NaN,NaN,0.24672,0.21708
cni,NaN,NaN,NaN,NaN,NaN,NaN
Srp19,NaN,NaN,NaN,NaN,NaN,NaN
Ahcy89E,NaN,NaN,NaN,0.80355,NaN,NaN
dsh,NaN,NaN,NaN,NaN,NaN,NaN
hyd,NaN,NaN,NaN,NaN,NaN,NaN
Pfk,NaN,NaN,NaN,NaN,NaN,NaN
TfIIA-L,NaN,NaN,NaN,NaN,NaN,NaN
alpha-Man-I,NaN,NaN,NaN,NaN,NaN,NaN
Mlp60A,NaN,NaN,NaN,NaN,NaN,NaN
a5,NaN,NaN,NaN,NaN,NaN,0.49311
Pbprp5,NaN,NaN,NaN,NaN,NaN,NaN
g,NaN,NaN,NaN,NaN,NaN,NaN
mtSSB,NaN,NaN,NaN,NaN,NaN,NaN
Pros54,NaN,1.2927,NaN,1.7149,1.7489,NaN
faf,0.27799,NaN,0.35549,0.17831,NaN,0.45677
RpS3A,NaN,NaN,NaN,NaN,NaN,NaN
betaTub85D,NaN,NaN,NaN,NaN,NaN,NaN
140up,NaN,NaN,1.5644,NaN,1.7858,NaN
CG7740,NaN,NaN,NaN,NaN,NaN,NaN
Lcp9,NaN,NaN,NaN,NaN,NaN,NaN
wibg,NaN,1.469,NaN,NaN,NaN,NaN
primo-1,0.5716,1.1782,0.56303,NaN,0.55545,NaN
Stim,0.37205,0.3746,NaN,0.29812,NaN,0.25352
Wsck,NaN,NaN,1.1246,NaN,NaN,NaN
Pi3K92E,NaN,NaN,NaN,NaN,NaN,NaN
Rh5,NaN,0.23546,NaN,NaN,NaN,NaN
mGluRA,NaN,NaN,NaN,NaN,NaN,NaN
SamDC,NaN,NaN,0.62154,0.60518,0.58995,0.49524
14-3-3epsilon,NaN,NaN,NaN,NaN,2.6992,NaN
14-3-3epsilon,NaN,NaN,NaN,NaN,NaN,NaN
14-3-3epsilon,NaN,NaN,NaN,NaN,NaN,NaN
Lcp65Ac,NaN,NaN,NaN,NaN,NaN,NaN
Lcp65Ab1,4.7987,NaN,NaN,NaN,3.0517,NaN
Lcp65Ag1,NaN,NaN,NaN,NaN,NaN,NaN
CaMKII,NaN,NaN,NaN,NaN,NaN,NaN
cpo,NaN,NaN,NaN,NaN,NaN,NaN
r-l,NaN,NaN,NaN,NaN,NaN,NaN
Rbp1,NaN,NaN,NaN,NaN,NaN,NaN
hts,NaN,NaN,NaN,NaN,NaN,NaN
Cpn,1.5223,1.7301,NaN,1.2343,NaN,NaN
cact,NaN,NaN,NaN,NaN,NaN,NaN
for,0.27693,0.12069,0.25267,0.42429,0.25129,0.2672
Dr,NaN,NaN,NaN,NaN,NaN,NaN
sas,NaN,NaN,1.777,NaN,NaN,1.5225
,NaN,0.27257,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Galpha73B,NaN,NaN,NaN,NaN,NaN,NaN
Ssrp,NaN,NaN,NaN,NaN,NaN,NaN
SmB,NaN,NaN,NaN,NaN,NaN,NaN
TfIIFalpha,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Vm34Ca,NaN,NaN,0.33572,NaN,NaN,NaN
Arf84F,NaN,NaN,NaN,NaN,NaN,NaN
ImpL2,NaN,NaN,NaN,NaN,NaN,NaN
hig,NaN,1.0883,1.178,NaN,NaN,NaN
fd68A,NaN,NaN,NaN,NaN,NaN,NaN
Hexo1,NaN,NaN,1.0511,0.70453,0.70637,0.69102
MEP-1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Vdup1,0.77934,NaN,NaN,0.86994,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
btv,NaN,NaN,NaN,NaN,NaN,NaN
Sema-1a,NaN,NaN,NaN,NaN,NaN,NaN
CG17224-RB,NaN,NaN,NaN,0.12621,NaN,NaN
Hil,NaN,NaN,NaN,NaN,NaN,NaN
SRPK,NaN,NaN,NaN,NaN,NaN,NaN
aPKC,0.2367,0.21532,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Dscam,NaN,NaN,NaN,NaN,NaN,NaN
CG40286-RA,NaN,NaN,NaN,NaN,NaN,NaN
p120ctn,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,1.1011,0.71586,1.0871
Tao,0.4884,NaN,NaN,NaN,NaN,NaN
Pfrx,0.52844,0.45733,0.34445,0.32457,0.40677,0.34279
Myo10A,NaN,NaN,NaN,NaN,NaN,NaN
Imp,NaN,NaN,NaN,NaN,NaN,NaN
CG32699,NaN,NaN,NaN,NaN,NaN,0.68426
sgg,NaN,NaN,NaN,NaN,NaN,NaN
CG13366-RB,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
SP1029,NaN,NaN,NaN,0.20719,1.6615,1.0624
,NaN,NaN,NaN,NaN,NaN,NaN
mld,NaN,NaN,NaN,NaN,NaN,NaN
CG17271-RB,NaN,1.7397,NaN,1.1254,1.2701,NaN
Mhcl,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,1.2427,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mtd,NaN,NaN,NaN,NaN,NaN,NaN
,0.40722,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Dap160,1.071,1.161,1.1423,1.1969,1.0434,1.009
Myo61F,NaN,NaN,NaN,NaN,NaN,NaN
qua,NaN,NaN,NaN,NaN,NaN,NaN
fliI,NaN,NaN,NaN,NaN,NaN,NaN
anon-i1,NaN,NaN,NaN,NaN,NaN,NaN
b,NaN,NaN,NaN,NaN,NaN,0.53515
Snr1,NaN,NaN,NaN,NaN,NaN,NaN
TH1,NaN,NaN,NaN,NaN,NaN,NaN
Stat92E,NaN,NaN,NaN,NaN,NaN,NaN
Deaf1,NaN,NaN,NaN,NaN,NaN,NaN
hk,0.45854,NaN,0.40903,0.54564,0.503,NaN
RhoL,NaN,NaN,NaN,NaN,NaN,NaN
Aph-4,NaN,NaN,NaN,NaN,NaN,NaN
mew,NaN,NaN,NaN,NaN,NaN,NaN
SmF,NaN,0.81887,1.162,1.0597,1.0237,0.83967
Iap2,NaN,NaN,NaN,NaN,NaN,NaN
lin19,NaN,0.21161,0.16496,0.34806,1.2632,0.5095
Dp,NaN,NaN,NaN,NaN,NaN,NaN
Dsor1,NaN,NaN,1.6697,0.3919,NaN,0.34025
Taf2,NaN,NaN,NaN,NaN,NaN,NaN
e(r),NaN,NaN,NaN,NaN,NaN,NaN
alpha-Man-II,NaN,NaN,NaN,NaN,NaN,NaN
Rbf,NaN,NaN,NaN,NaN,NaN,NaN
RpA-70,NaN,NaN,1.121,NaN,NaN,NaN
Ubp64E,NaN,NaN,NaN,NaN,NaN,NaN
e(y)1,NaN,NaN,NaN,NaN,NaN,NaN
l(2)not,NaN,NaN,NaN,NaN,NaN,NaN
a10,1.5052,NaN,NaN,2.2305,1.1307,0.75635
Nos,NaN,NaN,NaN,NaN,NaN,NaN
Prat,NaN,NaN,NaN,NaN,NaN,NaN
PpV,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAP1A,NaN,NaN,NaN,NaN,NaN,NaN
Cdep,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.49235,NaN,NaN,NaN,NaN
CG33977-RA,NaN,NaN,NaN,NaN,NaN,NaN
Etl1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
yki,NaN,NaN,NaN,NaN,NaN,NaN
Acp54A1,NaN,NaN,NaN,NaN,NaN,NaN
fbl6,NaN,NaN,NaN,NaN,NaN,NaN
Rip11,NaN,NaN,NaN,NaN,NaN,NaN
Myo95E,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
His1:CG33801,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,4.2132,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cpr92A,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,1.3248,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
RanBPM,0.34476,NaN,0.41509,NaN,NaN,0.35685
,0.88954,0.27794,NaN,NaN,NaN,NaN
Nf1,NaN,NaN,NaN,NaN,NaN,NaN
7B2,NaN,NaN,NaN,NaN,NaN,NaN
,2.0516,NaN,NaN,NaN,NaN,NaN
pog,NaN,NaN,NaN,NaN,NaN,NaN
CoRest,NaN,NaN,NaN,NaN,NaN,NaN
upd3,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cul-4,0.33256,0.45215,NaN,0.66361,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG17698-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG40486-RB,NaN,NaN,NaN,NaN,0.32137,NaN
zyd,NaN,NaN,NaN,NaN,NaN,NaN
Dbp80,NaN,0.6171,NaN,1.053,NaN,NaN
LRRK2,NaN,NaN,NaN,NaN,NaN,NaN
Sin3A,0.81782,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
